id_group,company_name,stock_code
1,ABBank (Ngân hàng TMCP An Bình),ABB
1,ACB (Ngân hàng Á Châu),ACB
1,Bac A Bank (Ngân hàng TMCP Bắc Á),BAB
1,BIDV (Ngân hàng TMCP Đầu tư và Phát triển Việt Nam),BID
1,BVBank (Ngân hàng Bản Việt),BVB
1,Vietinbank (Ngân hàng TMCP Công thương Việt Nam),CTG
1,Eximbank (Ngân hàng TMCP Xuất Nhập khẩu Việt Nam),EIB
1,Eximbank (Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam),EIB
1,HD bank (Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh),HDB
1,KienlongBank (Ngân hàng Kiên Long),KLB
1,LPBank (Ngân hàng Bưu điện Liên Việt),LPB
1,MB bank (Ngân hàng TMCP Quân đội),MBB
1,MSB (Ngân hàng TMCP Hàng hải Việt Nam),MSB
1,Nam A Bank (Ngân hàng TMCP Nam Á),NAB
1,NCB (Ngân hàng TMCP Quốc dân),NVB
1,OCB (Ngân hàng TMCP Phương Đông),OCB
1,PGbank (Ngân hàng TMCP Xăng Dầu Petrolimex),PGB
1,Saigon Bank (TMCP Sài Gòn Công thương),SGB
1,SHB (Ngân hàng TMCP Sài Gòn - Hà Nội),SHB
1,SeABank (Ngân hàng TMCP Đông Nam Á),SSB
1,Sacombank (Ngân hàng TMCP Sài Gòn Thương Tín),STB
1,Techcombank (Ngân hàng TMCP Kỹ Thương Việt Nam),TCB
1,TPBank (Ngân hàng TMCP Tiên Phong),TPB
1,VietABank (Ngân hàng TMCP Việt Á),VAB
1,Vietbank (Ngân hàng TMCP Việt Nam Thương Tín),VBB
1,Vietcombank (Ngân hàng TMCP Ngoại thương Việt Nam),VCB
1,VIB (Ngân hàng TMCP Việt Nam Thịnh Vượng),VIB
1,VPBank (Ngân hàng TMCP Việt Nam Thịnh Vượng),VIB
2,CTCP chứng khoán Agribank - HOSE,AGR
2,CTCP Chứng khoán APG,APG
2,CTCP Chứng khoán Châu Á Thái Bình Dương - HNX,APS
