epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.225,2.56834,3.60789,2.22784,0.00472,0.22351,0.03417,0.00753,2.67745,3.80893,2.54852,2.5e-05,2.5e-05,2.5e-05
2,45.3767,2.28875,3.53928,2.04817,0.00499,0.25129,0.05675,0.01721,2.21581,3.65923,2.1291,6.18813e-05,6.18813e-05,6.18813e-05
3,63.7301,1.98297,3.48102,1.81161,0.01379,0.3385,0.10191,0.04282,1.9257,3.52082,1.78116,9.802e-05,9.802e-05,9.802e-05
4,82.0615,1.6556,3.17046,1.56782,0.02159,0.40116,0.17729,0.09003,1.69821,3.36729,1.55881,0.000133416,0.000133416,0.000133416
5,100.081,1.50812,2.77748,1.45698,0.02998,0.42442,0.19463,0.12613,1.46428,3.2008,1.37133,0.00016807,0.00016807,0.00016807
6,118.316,1.41594,2.46022,1.36771,0.02934,0.42442,0.25544,0.16869,1.43136,3.07052,1.35091,0.000201981,0.000201981,0.000201981
7,136.534,1.32034,2.20459,1.27875,0.03205,0.4593,0.36138,0.22961,1.45702,2.96188,1.37305,0.00023515,0.00023515,0.00023515
8,154.19,1.25512,1.92368,1.23871,0.03335,0.49871,0.39073,0.25966,1.42825,2.8437,1.37185,0.000267576,0.000267576,0.000267576
9,172.566,1.17445,1.72569,1.21844,1,0.19271,0.43629,0.30442,1.23198,2.63396,1.2651,0.00029926,0.00029926,0.00029926
10,191.401,1.14924,1.51441,1.2316,1,0.29581,0.54126,0.38784,1.20017,2.56346,1.21959,0.000330201,0.000330201,0.000330201
11,209.937,1.16347,1.43615,1.18641,1,0.25053,0.58341,0.41655,1.28102,2.57904,1.18998,0.0003604,0.0003604,0.0003604
12,227.951,1.08715,1.29597,1.16614,1,0.24824,0.59486,0.43464,1.22187,2.57146,1.16323,0.000389856,0.000389856,0.000389856
13,246.201,1.13731,1.21692,1.17836,1,0.24423,0.57613,0.38686,1.19483,2.49338,1.18302,0.00041857,0.00041857,0.00041857
14,264.448,1.06261,1.1545,1.13701,1,0.29567,0.65961,0.41396,1.18452,2.37058,1.16709,0.000446541,0.000446541,0.000446541
15,282.658,1.0299,1.09757,1.14528,0.96965,0.37307,0.69834,0.46038,1.23325,2.02205,1.19824,0.00047377,0.00047377,0.00047377
16,301.039,0.97702,1.037,1.13207,0.97436,0.51871,0.80322,0.54433,1.13397,1.80349,1.16766,0.000500256,0.000500256,0.000500256
17,319.131,0.93662,1.00982,1.09833,0.92241,0.56319,0.93781,0.62078,1.15365,1.49713,1.20335,0.000526,0.000526,0.000526
18,337.12,0.98234,1.02631,1.14306,0.89348,0.57949,0.93763,0.60258,1.12461,1.44057,1.16804,0.000551001,0.000551001,0.000551001
19,355.123,0.92854,0.97255,1.08652,0.86187,0.57325,0.91871,0.59474,1.17042,1.51068,1.1883,0.00057526,0.00057526,0.00057526
20,373.512,1.01146,1.03519,1.13941,0.8904,0.58389,0.92326,0.58375,1.16052,1.53679,1.18058,0.000598776,0.000598776,0.000598776
21,391.532,0.92781,0.92919,1.1004,0.95264,0.54437,0.93901,0.61843,1.11627,1.53361,1.14174,0.00062155,0.00062155,0.00062155
22,409.535,0.91471,0.9188,1.07069,0.94217,0.55852,0.95145,0.63164,1.09186,1.49598,1.12716,0.000643581,0.000643581,0.000643581
23,426.96,0.92161,0.89671,1.08508,0.95903,0.65356,0.91415,0.64266,1.03154,1.38781,1.08674,0.00066487,0.00066487,0.00066487
24,445.052,0.85549,0.88731,1.0673,0.96769,0.66133,0.96267,0.64882,1.02796,1.30182,1.07547,0.000685416,0.000685416,0.000685416
25,463.948,0.8659,0.85167,1.05504,0.92814,0.67397,0.96,0.63955,1.04074,1.28339,1.07806,0.00070522,0.00070522,0.00070522
26,481.968,0.87665,0.83358,1.04846,0.8804,0.76238,0.96599,0.64394,1.0099,1.21871,1.08819,0.000724281,0.000724281,0.000724281
27,500.156,0.81587,0.81017,1.0554,0.81916,0.68282,0.96186,0.67626,0.97622,1.13845,1.07178,0.0007426,0.0007426,0.0007426
28,518.195,0.82903,0.79299,1.04453,0.89211,0.64706,0.95965,0.6864,0.92985,1.1001,1.04317,0.000760176,0.000760176,0.000760176
29,536.102,0.79499,0.771,1.02657,0.89211,0.64706,0.95965,0.6864,0.92985,1.1001,1.04317,0.00077701,0.00077701,0.00077701
30,554.707,0.85744,0.79025,1.05262,0.8303,0.71059,0.95901,0.7028,0.9549,1.0811,1.03472,0.000793101,0.000793101,0.000793101
31,572.828,0.7951,0.75325,1.03183,0.91879,0.69543,0.96047,0.70806,0.88505,1.10082,1.01656,0.00080845,0.00080845,0.00080845
32,590.973,0.79704,0.75729,1.01664,0.94939,0.69317,0.95635,0.70554,0.87988,1.08627,0.99963,0.000823056,0.000823056,0.000823056
33,608.985,0.78611,0.72693,1.02491,0.94939,0.69317,0.95635,0.70554,0.87988,1.08627,0.99963,0.00083692,0.00083692,0.00083692
34,626.983,0.8566,0.78783,1.05104,0.90987,0.81494,0.95769,0.72444,0.85778,1.00743,0.98558,0.000841625,0.000841625,0.000841625
35,645.069,0.78651,0.75625,1.02287,0.94099,0.76993,0.94445,0.69706,0.9536,1.03988,1.00762,0.00082925,0.00082925,0.00082925
36,663.257,0.79074,0.72808,1.02628,0.91395,0.75492,0.94708,0.72929,0.94492,1.03821,1.02861,0.000816875,0.000816875,0.000816875
37,681.485,0.78317,0.75389,1.01762,0.91395,0.75492,0.94708,0.72929,0.94492,1.03821,1.02861,0.0008045,0.0008045,0.0008045
38,699.748,0.76444,0.69705,1.02148,0.90279,0.81001,0.93994,0.72112,0.88642,0.93994,1.02728,0.000792125,0.000792125,0.000792125
39,717.92,0.80335,0.73103,1.03027,0.85686,0.87542,0.9443,0.71566,0.89017,0.89887,1.03098,0.00077975,0.00077975,0.00077975
40,736.105,0.74375,0.68332,1.00948,0.89388,0.84773,0.96703,0.74296,0.89702,0.90428,1.03884,0.000767375,0.000767375,0.000767375
41,754.16,0.78821,0.70919,1.01463,0.89388,0.84773,0.96703,0.74296,0.89702,0.90428,1.03884,0.000755,0.000755,0.000755
42,772.135,0.79644,0.70873,0.99827,0.92389,0.8672,0.96838,0.73388,0.88372,0.84598,1.02441,0.000742625,0.000742625,0.000742625
43,790.179,0.74119,0.72677,1.02872,0.91245,0.90286,0.97147,0.72745,0.86625,0.81065,0.99795,0.00073025,0.00073025,0.00073025
44,808.182,0.78678,0.71889,1.01672,0.78126,0.96821,0.97304,0.72269,0.86707,0.83213,1.00317,0.000717875,0.000717875,0.000717875
45,825.64,0.73558,0.69422,1.01057,0.78126,0.96821,0.97304,0.72269,0.86707,0.83213,1.00317,0.0007055,0.0007055,0.0007055
46,844.35,0.74071,0.69705,1.00366,0.81548,0.94079,0.97285,0.71784,0.8896,0.86508,1.01609,0.000693125,0.000693125,0.000693125
47,862.513,0.74605,0.68245,0.98167,0.84339,0.92498,0.97871,0.72505,0.85428,0.81047,0.98714,0.00068075,0.00068075,0.00068075
48,880.674,0.75679,0.68845,0.99183,0.89478,0.97489,0.975,0.74747,0.80248,0.74694,0.95523,0.000668375,0.000668375,0.000668375
49,898.742,0.71499,0.68174,0.98894,0.89478,0.97489,0.975,0.74747,0.80248,0.74694,0.95523,0.000656,0.000656,0.000656
50,916.225,0.70188,0.68033,1.00373,0.91862,0.97145,0.984,0.77308,0.77047,0.7066,0.95114,0.000643625,0.000643625,0.000643625
51,935.014,0.72462,0.64122,0.96065,0.92198,0.93247,0.98675,0.77768,0.75834,0.7022,0.95102,0.00063125,0.00063125,0.00063125
52,953.313,0.69155,0.6432,1.01997,0.92189,0.97209,0.98,0.75108,0.7968,0.71236,0.96062,0.000618875,0.000618875,0.000618875
53,971.315,0.69594,0.6355,0.99193,0.92189,0.97209,0.98,0.75108,0.7968,0.71236,0.96062,0.0006065,0.0006065,0.0006065
54,988.884,0.68205,0.6326,0.98574,0.94181,0.98713,0.99225,0.76755,0.77664,0.7003,0.95076,0.000594125,0.000594125,0.000594125
55,1007.65,0.69684,0.63494,0.9766,0.92631,1,0.995,0.77046,0.76528,0.69825,0.94126,0.00058175,0.00058175,0.00058175
56,1027.12,0.70293,0.63043,0.98441,0.95136,0.97906,0.995,0.76084,0.7802,0.6862,0.93806,0.000569375,0.000569375,0.000569375
57,1045.12,0.66125,0.61989,0.96332,0.95136,0.97906,0.995,0.76084,0.7802,0.6862,0.93806,0.000557,0.000557,0.000557
58,1063.08,0.70377,0.6293,0.96395,0.9602,1,0.995,0.76457,0.82014,0.6853,0.95131,0.000544625,0.000544625,0.000544625
59,1081.22,0.66149,0.62528,0.98434,0.95432,0.98906,0.995,0.76486,0.81576,0.67215,0.94899,0.00053225,0.00053225,0.00053225
60,1099.42,0.66938,0.61031,0.9791,0.95513,1,0.995,0.78975,0.74084,0.66108,0.93348,0.000519875,0.000519875,0.000519875
61,1117.28,0.674,0.61677,0.9393,0.95513,1,0.995,0.78975,0.74084,0.66108,0.93348,0.0005075,0.0005075,0.0005075
